number,总价,单价,行政区,小区,建筑面积,建成时间,建筑类型,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,更新时间,房屋用途,房屋年限,地铁
14,760,60318,海珠,嘉仕花园东区,126,2003,塔楼,东,3室2厅1厨1卫,低楼层/共32层,低楼层,共32层,其他,三梯六户,有,70年,2017-05-04,普通住宅,满五年,
15,538,48469,海珠,保利百合花园芳园,111,2004,塔楼,东南,3室2厅1厨2卫,低楼层/共18层,低楼层,共18层,精装,两梯八户,有,70年,2017-07-16,普通住宅,满五年,地铁
16,1050,59660,天河,华景新城信华花园,176,2012,塔楼,南,5室2厅1厨1卫,高楼层/共31层,高楼层,共31层,精装,三梯五户,有,70年,2016-09-11,普通住宅,满五年,
17,1250,58325,天河,天诚广场,214.32,1998,塔楼,东南,5室2厅1厨2卫,高楼层/共24层,高楼层,共24层,简装,两梯八户,有,70年,2017-09-09,普通住宅,满五年,地铁
18,245,39517,白云,富力阳光美居,62,2001,塔楼,北,2室1厅1厨1卫,中楼层/共11层,中楼层,共11层,精装,一梯六户,有,70年,2018-03-07,普通住宅,满五年,
19,395,65204,天河,天誉花园,60.58,2000,塔楼,南,1室1厅1厨1卫,高楼层/共30层,高楼层,共30层,简装,三梯八户,有,70年,2017-11-29,普通住宅,满五年,地铁
20,250,29948,白云,增槎路锦翠苑,83.48,2004,塔楼,西北,2室1厅1厨1卫,低楼层/共7层,低楼层,共7层,其他,一梯八户,暂无数据,70年,2017-11-10,普通住宅,满五年,
21,750,79788,天河,星汇园,94,2002,塔楼,东北,2室2厅1厨1卫,中楼层/共32层,中楼层,共32层,精装,三梯六户,有,70年,2017-12-01,普通住宅,满五年,地铁
22,465,50238,海珠,和平家园,92.56,2007,塔楼,北,3室2厅1厨2卫,低楼层/共12层,低楼层,共12层,其他,一梯四户,有,70年,2016-02-15,普通住宅,满五年,
23,380,48850,天河,恒安大厦,77.79,1998,塔楼,南,2室1厅1厨1卫,高楼层/共29层,高楼层,共29层,精装,三梯七户,有,70年,2017-10-23,普通住宅,满五年,
24,230,46939,天河,员村西街7号大院,49,,塔楼,东南,2室1厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯四户,暂无数据,70年,2017-10-29,普通住宅,满五年,地铁
25,375,49343,海珠,保利百合花园雅园,76,2004,塔楼,西北,2室1厅1厨1卫,中楼层/共11层,中楼层,共11层,精装,一梯五户,有,70年,2017-05-31,普通住宅,满五年,地铁
26,115,26095,白云,新兴白云花园乐居北街,44.07,1999,塔楼,北,1室1厅1厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯六户,无,70年,2017-12-24,普通住宅,满五年,
27,280,43805,海珠,盈丰华轩,63.92,2002,塔楼,北,2室1厅1厨1卫,低楼层/共19层,低楼层,共19层,其他,两梯六户,有,70年,2017-05-31,普通住宅,满五年,地铁
28,400,37075,白云,白云高尔夫花园东区,107.89,2002,塔楼,东北,3室2厅1厨2卫,低楼层/共12层,低楼层,共12层,其他,一梯七户,有,70年,2017-09-10,普通住宅,满五年,
29,212,19450,增城,富雅都市华庭,109,,塔楼,北,3室2厅1厨1卫,高楼层/共12层,高楼层,共12层,其他,两梯四户,有,70年,2018-02-11,普通住宅,满五年,
30,1250,70245,天河,天誉花园,177.95,2000,塔楼,东南,4室2厅1厨2卫,高楼层/共30层,高楼层,共30层,其他,三梯六户,有,70年,2018-04-04,普通住宅,满五年,地铁
31,328,27052,番禺,自在城市花园,121.25,2004,塔楼,南,3室2厅0厨2卫,中楼层/共11层,中楼层,共11层,精装,一梯三户,有,70年,2016-12-28,普通住宅,满五年,
32,213,22188,增城,碧桂园凤凰城凤馨苑,96,2002,塔楼,北,3室2厅1厨1卫,中楼层/共18层,中楼层,共18层,精装,两梯四户,有,70年,2017-11-10,普通住宅,满五年,
33,245,39517,海珠,金碧花园第一金碧,62,2000,塔楼,北,2室2厅1厨1卫,中楼层/共22层,中楼层,共22层,简装,两梯九户,有,70年,2017-11-12,普通住宅,满两年,地铁
34,198.6,24000,增城,金泽豪庭,82.73,2009,塔楼,北,2室2厅1厨1卫,高楼层/共27层,高楼层,共27层,其他,两梯四户,有,70年,2018-02-28,普通住宅,满两年,地铁
35,178,23272,番禺,汇景大道,76.49,,塔楼,北,2室2厅1厨1卫,低楼层/共6层,低楼层,共6层,简装,一梯四户,暂无数据,70年,2018-02-25,普通住宅,满五年,
36,220,28572,番禺,自在城市花园,77,2004,塔楼,北,2室2厅1厨1卫,中楼层/共11层,中楼层,共11层,其他,一梯三户,有,70年,2017-11-19,普通住宅,满五年,
37,475,53371,天河,骏景花园,89,2000,塔楼,南,2室2厅1厨1卫,中楼层/共12层,中楼层,共12层,简装,一梯四户,有,70年,2017-11-08,普通住宅,满五年,地铁
38,168,23662,黄埔,祥辉广场,71,2000,塔楼,南,2室1厅1厨1卫,中楼层/共13层,中楼层,共13层,其他,一梯九户,有,70年,2017-11-22,普通住宅,满五年,地铁
39,310,36905,荔湾,荔港南湾,84,2008,塔楼,东南,3室2厅1厨1卫,低楼层/共28层,低楼层,共28层,其他,两梯七户,有,70年,2017-06-27,普通住宅,满五年,地铁
40,320,91429,天河,铂林国际公寓,35,2005,塔楼,南,1室2厅1厨1卫,高楼层/共22层,高楼层,共22层,简装,两梯十八户,有,70年,2017-02-04,普通住宅,满五年,地铁
41,213,26625,番禺,祈福新村湖景居,80,1995,板楼,北,3室2厅1厨1卫,中楼层/共4层,中楼层,共4层,其他,一梯一户,无,70年,2017-12-26,普通住宅,满五年,
42,518,80938,天河,嘉尚国际公寓,64,2009,塔楼,北,2室1厅1厨1卫,低楼层/共32层,低楼层,共32层,其他,四梯十八户,有,70年,2017-10-26,普通住宅,满五年,地铁
43,505,58053,海珠,江畔华庭,86.99,2002,塔楼,东北,2室2厅1厨1卫,低楼层/共30层,低楼层,共30层,其他,三梯四户,有,70年,2017-09-12,普通住宅,满五年,
44,390,58209,天河,华景新城泽晖苑,67,1999,塔楼,西南,2室2厅1厨1卫,中楼层/共9层,中楼层,共9层,精装,一梯八户,有,70年,2017-08-11,普通住宅,满两年,
45,525,48974,天河,华景新城逸馨居,107.2,2000,塔楼,东南,3室2厅1厨2卫,低楼层/共31层,低楼层,共31层,其他,三梯八户,有,70年,2018-03-19,普通住宅,满五年,
46,315,41269,海珠,罗马家园,76.33,2007,塔楼,北,2室1厅1厨1卫,高楼层/共15层,高楼层,共15层,其他,两梯四户,有,70年,2017-02-09,普通住宅,满五年,
47,460,65715,天河,林和东公安宿舍,70,1997,塔楼,南,2室2厅1厨1卫,低楼层/共9层,低楼层,共9层,简装,一梯两户,无,70年,2017-10-16,普通住宅,满五年,地铁
48,350,45449,海珠,南景园,77.01,2001,塔楼,西北,2室1厅1厨1卫,中楼层/共18层,中楼层,共18层,简装,两梯六户,有,70年,2017-12-17,普通住宅,满五年,地铁
49,450,56963,海珠,翠城花园,79,2009,塔楼,北,2室1厅1厨1卫,高楼层/共33层,高楼层,共33层,其他,三梯七户,有,70年,2017-10-31,普通住宅,满五年,地铁
50,550,67074,天河,理想蓝堡国际花园,82,2004,塔楼,东北,2室1厅1厨1卫,低楼层/共29层,低楼层,共29层,简装,三梯六户,有,70年,2017-09-17,普通住宅,满五年,
51,260,32500,番禺,华南碧桂园芳翠苑,80,2001,塔楼,南,2室1厅1厨1卫,中楼层/共7层,中楼层,共7层,简装,一梯四户,无,70年,2018-03-18,普通住宅,满两年,
52,505,56742,海珠,江南新苑,89,2001,塔楼,南 北,2室1厅1厨1卫,高楼层/共11层,高楼层,共11层,其他,一梯五户,有,70年,2017-09-02,普通住宅,满五年,地铁
53,185,30865,天河,星河苑,59.94,1993,塔楼,南,2室1厅1厨1卫,高楼层/共9层,高楼层,共9层,精装,一梯四户,暂无数据,70年,2017-05-13,普通住宅,满五年,地铁
54,165,35107,天河,棠德花园,47,1997,塔楼,北,1室1厅1厨1卫,低楼层/共9层,低楼层,共9层,简装,一梯三户,无,70年,2017-10-02,普通住宅,满五年,
55,150,19481,黄埔,普晖村,77,1996,塔楼,南,2室2厅1厨1卫,高楼层/共9层,高楼层,共9层,简装,一梯四户,无,70年,2017-12-11,普通住宅,满五年,
56,363,54926,越秀,水荫路水荫直街,66.09,1992,塔楼,西南,2室1厅1厨1卫,低楼层/共8层,低楼层,共8层,其他,一梯四户,无,70年,2017-12-18,普通住宅,满五年,地铁
57,160,24010,黄埔,冶炼厂宿舍,66.64,1998,塔楼,南,2室2厅1厨1卫,高楼层/共8层,高楼层,共8层,简装,一梯四户,无,70年,2017-11-30,普通住宅,满五年,
58,170,40010,海珠,金汇花园,42.49,1997,塔楼,北,1室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯七户,无,70年,2017-12-10,普通住宅,满五年,地铁
59,890,81183,天河,怡苑,109.63,1997,塔楼,东南,2室2厅1厨2卫,低楼层/共14层,低楼层,共14层,精装,一梯三户,暂无数据,70年,2017-12-07,普通住宅,满五年,地铁
60,330,43422,荔湾,黄沙大道,76,1991,塔楼,东北,2室2厅1厨1卫,高楼层/共28层,高楼层,共28层,其他,两梯七户,有,70年,2017-11-26,普通住宅,满五年,地铁
61,580,57586,海珠,江南新苑,100.72,2009,塔楼,北,3室1厅1厨1卫,中楼层/共30层,中楼层,共30层,精装,三梯五户,有,70年,2018-01-05,普通住宅,满五年,地铁
62,640,54515,天河,德荣小区,117.4,1995,塔楼,南 北,3室2厅1厨1卫,中楼层/共8层,中楼层,共8层,精装,一梯八户,有,70年,2018-01-22,普通住宅,满五年,
63,500.5,26200,增城,碧桂园凤凰城凤盈苑,191,2002,塔楼,南,4室2厅1厨3卫,高楼层/共11层,高楼层,共11层,简装,一梯两户,有,70年,2017-03-29,普通住宅,满五年,
64,245,28489,天河,棠德花园,86,1997,塔楼,东南,3室2厅0厨1卫,高楼层/共9层,高楼层,共9层,其他,一梯三户,无,70年,2017-07-23,普通住宅,满五年,
65,650,31147,番禺,富豪山庄第五街,208.69,,暂无数据,北,5室2厅1厨4卫,联排/共1层,联排,共1层,70年,"
                              ","
                              ","
                                                          ",2017-08-05,别墅,满两年,
66,210,20611,番禺,如意花园,101.89,1993,塔楼,南,3室2厅1厨2卫,中楼层/共7层,中楼层,共7层,简装,一梯两户,无,70年,2017-07-09,普通住宅,满五年,地铁
67,210,22605,番禺,富丽家园百乐园,92.9,1995,塔楼,南,3室2厅1厨1卫,中楼层/共7层,中楼层,共7层,其他,一梯两户,无,70年,2017-05-25,普通住宅,满五年,
68,450,53293,天河,翠湖山庄,84.44,1999,塔楼,东南,2室1厅1厨1卫,中楼层/共17层,中楼层,共17层,简装,三梯八户,有,70年,2017-04-09,普通住宅,满两年,
69,290,72320,天河,华景新城芳满庭园,40.1,2005,塔楼,东,1室1厅1厨1卫,高楼层/共36层,高楼层,共36层,精装,三梯九户,有,70年,2017-05-10,普通住宅,满五年,
70,530,55209,天河,赛拉维,96,2004,塔楼,西北,3室1厅1厨1卫,中楼层/共20层,中楼层,共20层,其他,两梯六户,有,70年,2017-03-22,普通住宅,满五年,
71,550,46219,海珠,富力现代广场,119,2005,塔楼,东南,3室2厅1厨2卫,低楼层/共19层,低楼层,共19层,简装,两梯七户,有,70年,2018-04-01,普通住宅,满两年,地铁
72,115,15863,番禺,中华大道翠园西,72.5,,塔楼,南,2室2厅1厨2卫,低楼层/共7层,低楼层,共7层,其他,一梯两户,无,70年,2017-09-28,普通住宅,满五年,
73,780,80413,天河,东方新世界熹园,97,2011,塔楼,东北,3室2厅0厨2卫,低楼层/共30层,低楼层,共30层,精装,两梯六户,有,70年,2017-04-23,普通住宅,满两年,
74,155,20395,增城,新塘新世界花园嘉乐苑,76,,板楼,北,2室1厅1厨1卫,低楼层/共6层,低楼层,共6层,其他,一梯四户,无,70年,2017-04-28,普通住宅,满两年,地铁
75,278,27255,番禺,鑫润花园,102,2002,塔楼,南,2室2厅1厨1卫,中楼层/共18层,中楼层,共18层,精装,两梯四户,有,70年,2017-10-28,普通住宅,满两年,
76,440,34646,白云,富力桃园,127,2004,塔楼,东北,3室2厅1厨2卫,高楼层/共30层,高楼层,共30层,其他,三梯六户,有,70年,2017-08-10,普通住宅,满两年,
77,215,38162,黄埔,丰逸尚居,56.34,2012,塔楼,北,2室1厅1厨1卫,中楼层/共29层,中楼层,共29层,其他,三梯七户,有,70年,2017-12-24,普通住宅,满两年,地铁
78,361,38000,白云,紫薇花园,95,2006,塔楼,北,3室2厅1厨2卫,低楼层/共18层,低楼层,共18层,其他,两梯四户,有,70年,2018-01-12,普通住宅,满五年,
79,470,34207,白云,富力桃园,137.4,2004,塔楼,东南,3室2厅1厨2卫,低楼层/共29层,低楼层,共29层,其他,三梯六户,有,70年,2017-09-06,普通住宅,满两年,
80,600,42433,海珠,光大花园,141.4,,塔楼,北,4室2厅1厨3卫,高楼层/共6层,高楼层,共6层,简装,一梯四户,无,70年,2017-11-21,普通住宅,满五年,地铁
81,510,58380,天河,美林海岸花园,87.36,2004,塔楼,南 北,2室2厅1厨1卫,高楼层/共12层,高楼层,共12层,简装,一梯六户,有,70年,2017-12-23,普通住宅,满五年,地铁
82,405,51163,海珠,柏涛雅苑,79.16,2001,塔楼,东北,2室2厅1厨1卫,中楼层/共9层,中楼层,共9层,精装,一梯四户,有,70年,2017-12-23,普通住宅,满五年,地铁
83,370,15569,增城,翡翠绿洲森林半岛,237.66,2011,塔楼,西南,4室2厅1厨2卫,高楼层/共14层,高楼层,共14层,毛坯,两梯六户,有,70年,2017-09-23,普通住宅,满两年,
84,175,12021,花都,云山大道,145.58,,塔楼,北,3室2厅1厨1卫,中楼层/共6层,中楼层,共6层,其他,一梯六户,无,70年,2017-11-13,普通住宅,满五年,地铁
85,328,38193,天河,员村四横路5号大院,85.88,1991,塔楼,南 北,3室1厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,一梯四户,无,70年,2017-11-09,普通住宅,满五年,地铁
86,330,38373,白云,金碧雅苑,86,2003,塔楼,北,3室1厅1厨1卫,低楼层/共11层,低楼层,共11层,其他,一梯四户,有,70年,2017-07-28,普通住宅,满五年,地铁
87,430,56107,越秀,梅东路,76.64,,塔楼,南 北,2室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯四户,无,70年,2017-11-01,普通住宅,满五年,地铁
88,280,35898,白云,纵横缤城,78,2009,塔楼,东,2室2厅1厨1卫,低楼层/共18层,低楼层,共18层,其他,两梯五户,有,70年,2018-04-03,普通住宅,满五年,
89,230,47413,海珠,双子星城,48.51,2005,塔楼,西,2室2厅1厨1卫,高楼层/共12层,高楼层,共12层,其他,一梯十一户,有,70年,2017-07-10,普通住宅,满五年,地铁
90,518,59541,海珠,江畔华庭,87,2002,塔楼,北,2室2厅1厨1卫,低楼层/共30层,低楼层,共30层,简装,三梯四户,有,70年,2017-10-30,普通住宅,满五年,
91,400,41361,海珠,雅致花园,96.71,1998,塔楼,东北,3室2厅1厨1卫,中楼层/共9层,中楼层,共9层,其他,两梯十户,有,70年,2017-09-19,普通住宅,满五年,地铁
92,450,48388,天河,金穗大厦,93,1997,塔楼,西北,2室1厅1厨1卫,低楼层/共33层,低楼层,共33层,其他,三梯十二户,有,70年,2017-06-25,普通住宅,满五年,地铁
93,208,20299,番禺,朝阳西路,102.47,,塔楼,南,3室1厅0厨1卫,高楼层/共7层,高楼层,共7层,其他,一梯两户,暂无数据,70年,2017-08-25,普通住宅,满五年,
94,225,34336,番禺,富丽家园丽水湾,65.53,1995,塔楼,北,2室2厅1厨1卫,低楼层/共11层,低楼层,共11层,其他,一梯四户,有,70年,2017-09-13,普通住宅,满五年,
95,600,57143,越秀,烟墩路保安前街,105,1997,塔楼,东,3室1厅1厨1卫,低楼层/共7层,低楼层,共7层,简装,一梯两户,无,70年,2016-10-24,普通住宅,满五年,地铁
96,325,42462,海珠,加怡花园,76.54,2007,塔楼,南,2室2厅1厨1卫,低楼层/共17层,低楼层,共17层,精装,两梯七户,有,70年,2017-12-02,普通住宅,满五年,地铁
97,380,47847,天河,富力院士庭,79.42,2008,塔楼,南,2室1厅1厨1卫,低楼层/共24层,低楼层,共24层,其他,三梯十四户,有,70年,2017-11-26,普通住宅,满五年,
98,250,32587,荔湾,如意坊路,76.72,,塔楼,西南,2室2厅1厨1卫,低楼层/共9层,低楼层,共9层,简装,一梯八户,无,70年,2018-01-21,普通住宅,满五年,地铁
99,175,20471,南沙,广晟海韵兰庭,85.49,,塔楼,南,2室1厅1厨1卫,高楼层/共18层,高楼层,共18层,精装,一梯四户,暂无数据,70年,2018-03-12,普通住宅,满五年,
100,556,59895,越秀,麓湖御景,92.83,2007,塔楼,东南,2室2厅1厨1卫,低楼层/共32层,低楼层,共32层,精装,三梯八户,有,70年,2017-12-26,普通住宅,满五年,地铁
101,130,40323,海珠,乐居苑,32.24,1998,塔楼,南,1室1厅1厨1卫,中楼层/共9层,中楼层,共9层,简装,一梯九户,无,70年,2018-03-02,普通住宅,满五年,地铁
102,258,28173,黄埔,龙光峰景华庭,91.58,,塔楼,北,3室2厅1厨1卫,高楼层/共18层,高楼层,共18层,其他,两梯八户,有,70年,2018-02-04,普通住宅,满五年,
103,360,50705,天河,富力天朗明居S区,71,2001,塔楼,西,2室1厅1厨1卫,高楼层/共18层,高楼层,共18层,其他,两梯八户,有,70年,2018-02-24,普通住宅,满五年,地铁
104,235,36719,天河,棠德花园,64,1997,塔楼,南,2室1厅1厨1卫,低楼层/共9层,低楼层,共9层,简装,一梯四户,无,70年,2018-03-02,普通住宅,满五年,
105,730,27351,白云,白云高尔夫花园西区,266.91,1999,塔楼,南,6室2厅1厨3卫,高楼层/共11层,高楼层,共11层,精装,一梯八户,有,70年,2017-11-02,普通住宅,满五年,
106,380,49706,天河,德欣小区天河东路,76.45,1994,塔楼,南 北,2室2厅1厨1卫,中楼层/共8层,中楼层,共8层,其他,一梯两户,无,70年,2018-01-25,普通住宅,满五年,
107,370,49118,天河,紫林居,75.33,2000,塔楼,南,2室2厅1厨1卫,高楼层/共10层,高楼层,共10层,简装,一梯两户,无,70年,2018-02-27,普通住宅,满五年,
108,518,84132,天河,南国花园,61.57,2005,塔楼,西,2室1厅1厨1卫,低楼层/共24层,低楼层,共24层,其他,两梯八户,有,70年,2018-02-28,普通住宅,满五年,地铁
109,330,34628,番禺,华南新城,95.3,2011,塔楼,东 西,2室2厅1厨1卫,中楼层/共11层,中楼层,共11层,其他,一梯两户,有,70年,2018-03-24,普通住宅,满五年,
110,430,20018,增城,翡翠绿洲森林半岛,214.81,2011,塔楼,南 北,4室2厅1厨2卫,高楼层/共15层,高楼层,共15层,其他,两梯四户,有,70年,2017-03-20,普通住宅,满五年,
111,340,40000,荔湾,花地城广场,85,2002,塔楼,西南,2室2厅1厨1卫,高楼层/共17层,高楼层,共17层,简装,两梯六户,有,70年,2018-01-22,普通住宅,满五年,地铁
112,350,35008,番禺,广州雅居乐花园浅山小筑,99.98,2010,塔楼,北,3室2厅1厨2卫,中楼层/共13层,中楼层,共13层,其他,一梯四户,有,70年,2018-04-07,普通住宅,满五年,
113,460,61358,越秀,犀牛路,74.97,,塔楼,南 北,3室1厅1厨1卫,低楼层/共8层,低楼层,共8层,简装,一梯两户,无,70年,2017-09-23,普通住宅,满五年,地铁
114,105,23480,白云,松涛北苑,44.72,1999,塔楼,西北,1室1厅1厨1卫,高楼层/共5层,高楼层,共5层,其他,一梯七户,无,70年,2018-04-10,普通住宅,满五年,地铁
115,580,64445,越秀,百好居,90,2000,塔楼,南 北,3室1厅1厨1卫,高楼层/共31层,高楼层,共31层,精装,三梯六户,有,70年,2018-01-04,普通住宅,满五年,地铁
116,276,27327,番禺,番禺海伦堡御院,101,2005,板楼,东,3室2厅1厨2卫,中楼层/共6层,中楼层,共6层,其他,一梯四户,无,70年,2017-12-19,普通住宅,满五年,
117,270,33708,海珠,晓园新村晓园北,80.1,2005,塔楼,南 北,2室2厅1厨1卫,中楼层/共9层,中楼层,共9层,精装,一梯六户,无,70年,2017-10-25,普通住宅,满五年,地铁
118,438,51530,天河,富力天朗明居S区,85,2001,塔楼,东,2室2厅1厨1卫,高楼层/共18层,高楼层,共18层,其他,两梯八户,有,70年,2017-11-25,普通住宅,满五年,地铁
119,365,37734,黄埔,万科城市花园,96.73,2003,塔楼,南 北,3室2厅1厨1卫,中楼层/共11层,中楼层,共11层,简装,一梯四户,有,70年,2017-10-07,普通住宅,满五年,地铁
120,260,38236,白云,金碧雅苑,68,2004,塔楼,东南,2室1厅1厨1卫,低楼层/共18层,低楼层,共18层,其他,两梯六户,有,70年,2017-11-02,普通住宅,满五年,地铁
121,335,41359,天河,远洋明苑,81,2004,塔楼,西南,2室2厅1厨1卫,低楼层/共18层,低楼层,共18层,精装,两梯七户,有,70年,2017-10-01,普通住宅,满五年,
122,250,37314,白云,富力半岛花园,67,2002,塔楼,西北,2室1厅1厨1卫,中楼层/共18层,中楼层,共18层,其他,两梯八户,有,70年,2017-11-04,普通住宅,满五年,
123,440,61112,海珠,富力千禧花园,72,2002,塔楼,北,2室1厅1厨1卫,中楼层/共26层,中楼层,共26层,其他,两梯七户,有,70年,2017-09-26,普通住宅,满五年,地铁
124,380,45712,天河,阳光假日园,83.13,2009,塔楼,北,2室2厅1厨1卫,低楼层/共16层,低楼层,共16层,精装,两梯六户,有,70年,2017-11-19,普通住宅,满五年,地铁
125,245,27332,黄埔,龙光峰景华庭,89.64,2009,塔楼,北,3室2厅1厨1卫,高楼层/共18层,高楼层,共18层,其他,两梯八户,有,70年,2017-09-05,普通住宅,满五年,
126,540,58696,海珠,江南新苑,92,2009,塔楼,东北,3室2厅1厨1卫,中楼层/共33层,中楼层,共33层,其他,三梯六户,有,70年,2017-11-29,普通住宅,满五年,地铁
127,268,27153,番禺,自在城市花园,98.7,2004,塔楼,北,3室2厅1厨1卫,低楼层/共10层,低楼层,共10层,简装,一梯四户,有,70年,2017-09-24,普通住宅,满五年,
128,390,57778,天河,天成大厦,67.5,2002,塔楼,西南,2室2厅1厨1卫,高楼层/共32层,高楼层,共32层,其他,两梯十二户,有,70年,2017-12-17,普通住宅,满五年,地铁
129,1888,121478,白云,颐和上院一期,155.42,2006,塔楼,东南,4室3厅1厨3卫,高楼层/共21层,高楼层,共21层,其他,两梯五户,有,70年,2016-07-27,普通住宅,满五年,地铁
130,425,51205,荔湾,龙锦大厦,83,2008,塔楼,南 北,2室1厅1厨1卫,低楼层/共31层,低楼层,共31层,其他,两梯五户,有,70年,2017-12-01,普通住宅,满五年,地铁
131,324,44919,越秀,淘金北路正平北街,72.13,,塔楼,北,3室1厅1厨1卫,高楼层/共9层,高楼层,共9层,简装,一梯三户,无,70年,2017-12-26,普通住宅,满五年,地铁
132,300,36479,海珠,富荣新村,82.24,1994,塔楼,北,3室2厅1厨1卫,低楼层/共9层,低楼层,共9层,其他,一梯四户,无,70年,2018-02-25,普通住宅,满五年,地铁
133,385,50658,天河,骏景花园,76,2000,塔楼,北,2室2厅1厨1卫,低楼层/共12层,低楼层,共12层,简装,一梯四户,有,70年,2018-02-01,普通住宅,满五年,
134,285,30032,番禺,丽江花园华林居,94.9,1996,塔楼,西北,3室2厅1厨2卫,中楼层/共6层,中楼层,共6层,简装,一梯四户,无,70年,2017-08-14,普通住宅,满五年,
135,230,26437,黄埔,荔香花园,87,1996,塔楼,南 北,3室2厅1厨1卫,中楼层/共9层,中楼层,共9层,精装,一梯四户,无,70年,2017-07-11,普通住宅,满五年,地铁
136,450,51748,天河,半山雍景苑,86.96,2000,塔楼,西南,3室2厅1厨1卫,低楼层/共13层,低楼层,共13层,简装,一梯六户,有,70年,2017-04-19,普通住宅,满五年,
137,350,44304,海珠,金碧花园第一金碧,79,2000,塔楼,南 北,2室2厅1厨1卫,中楼层/共32层,中楼层,共32层,精装,两梯七户,有,70年,2013-11-15,普通住宅,满五年,地铁
138,350,43855,海珠,江丽苑,79.81,1996,塔楼,南,2室1厅1厨1卫,低楼层/共9层,低楼层,共9层,其他,一梯四户,无,70年,2017-10-16,普通住宅,满五年,
139,240,29993,海珠,广发新村,80.02,1997,塔楼,东南,3室1厅1厨1卫,高楼层/共9层,高楼层,共9层,简装,一梯十二户,无,70年,2017-09-18,普通住宅,满五年,地铁
140,215,27984,番禺,华荟南景园,76.83,2002,塔楼,北,3室2厅1厨1卫,低楼层/共16层,低楼层,共16层,精装,两梯四户,有,70年,2018-01-12,普通住宅,满五年,
141,588,37693,番禺,华南碧桂园翡翠苑,156,2001,板楼,西南,5室2厅0厨3卫,高楼层/共6层,高楼层,共6层,精装,一梯四户,无,70年,2014-12-07,普通住宅,满五年,
142,305,42180,天河,穗乐花园,72.31,1990,塔楼,北,2室1厅1厨1卫,中楼层/共8层,中楼层,共8层,其他,一梯四户,无,70年,2018-01-28,普通住宅,满五年,地铁
143,350,44070,天河,富力院士庭,79.42,2008,塔楼,东北,2室2厅1厨1卫,低楼层/共24层,低楼层,共24层,简装,三梯十四户,有,70年,2017-10-14,普通住宅,满五年,
