number,出售价,挂牌价,单价,行政区,小区,建筑面积,建筑类型,建成时间,朝向,户型2,楼层,所在楼层,总楼层,装修,梯户比,电梯,产权年限,成交时间,房屋用途,房屋年限,地铁,税收
11,538,560,62530,天河,新世界东逸花园,86.04,塔楼,2003,东北,2室2厅1厨1卫,中楼层 (共28层),中楼层,28,精装,三梯八户,有,70年,2018-03-04,普通住宅,满五年,,房屋满五年
12,142,150,22904,番禺,钟村长江数码花园,62,塔楼,2000,南,2室2厅1厨1卫,低楼层 (共6层),低楼层,6,其他,一梯四户,无,70年,2018-03-03,普通住宅,暂无数据,,
13,76.5,78,16693,番禺,越秀可逸江畔,45.83,板塔结合,未知,南,1室1厅1厨1卫,高楼层 (共12层),高楼层,12,其他,一梯二十六户,暂无数据,50年,2018-02-25,商住两用,暂无数据,,
14,370,480,42820,越秀,保利麓苑,86.41,塔楼,未知,西,2室1厅1厨1卫,高楼层 (共33层),高楼层,33,其他,一梯十二户,暂无数据,70年,2018-02-25,普通住宅,暂无数据,地铁,
15,260,271,34442,番禺,祈福缤纷汇,75.49,塔楼,未知,南,2室1厅1厨1卫,低楼层 (共33层),低楼层,33,其他,一梯八户,暂无数据,70年,2018-02-25,普通住宅,暂无数据,,
16,83.3,85,28626,海珠,光大花园榕城尚品公寓,29.1,塔楼,2006,西,1室1厅1厨1卫,低楼层 (共2层),低楼层,2,精装,一梯五十一户,无,50年,2018-02-25,商住两用,暂无数据,地铁,
17,169,170,24030,荔湾,景晖苑,70.33,塔楼,1997,东南,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯四户,无,70年,2018-02-25,普通住宅,暂无数据,地铁,
18,158,165,25268,海珠,鹭江富华楼,62.53,塔楼,1997,东北,1室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯十户,无,70年,2018-02-25,普通住宅,暂无数据,地铁,
19,296,302,27408,白云,乐嘉路,108,塔楼,未知,东南,3室2厅1厨2卫,高楼层 (共9层),高楼层,9,简装,一梯两户,无,70年,2018-02-26,普通住宅,暂无数据,,
20,76,85,11875,花都,兰圃新村,64,暂无数据,未知,南 北,3室2厅0厨1卫,中楼层 (共6层),中楼层,6,其他,一梯六户,暂无数据,70年,2018-02-26,普通住宅,暂无数据,地铁,
21,190,190,22353,黄埔,银丰花园银丰一街,85,塔楼,1999,北,2室2厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2018-02-26,普通住宅,暂无数据,地铁,
22,188,192,23357,番禺,富丽家园富丽广场,80.49,塔楼,1995,东,2室1厅1厨1卫,中楼层 (共6层),中楼层,6,简装,一梯十六户,无,70年,2018-02-26,普通住宅,满两年,地铁,
23,168,175,23334,番禺,水韵蓝湾南区,72,塔楼,2010,北,2室2厅1厨1卫,高楼层 (共17层),高楼层,17,其他,两梯六户,有,70年,2018-02-26,普通住宅,暂无数据,,
24,245,245,28466,黄埔,龙光峰景华庭,86.07,塔楼,2008,东北,3室2厅1厨1卫,低楼层 (共18层),低楼层,18,其他,两梯六户,有,70年,2018-02-26,普通住宅,满五年,,房屋满五年
25,163,165,30755,番禺,祈福新村海晴居,53,板楼,2003,南,2室1厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯四户,无,70年,2018-02-26,普通住宅,满五年,,房屋满五年
26,291,300,36375,荔湾,怡芳苑,80,塔楼,1998,南,2室2厅1厨1卫,高楼层 (共11层),高楼层,11,其他,一梯六户,有,70年,2018-02-26,普通住宅,暂无数据,地铁,
27,386,390,49355,海珠,朗晴居一期,78.21,塔楼,2000,南,2室1厅1厨1卫,中楼层 (共19层),中楼层,19,其他,两梯六户,有,70年,2018-02-26,普通住宅,暂无数据,地铁,
28,190,205,26028,番禺,亚运城媒体北村,73,塔楼,未知,南 北,2室2厅1厨1卫,高楼层 (共18层),高楼层,18,其他,一梯四户,暂无数据,70年,2018-02-03,普通住宅,暂无数据,地铁,
29,262,265,38502,白云,金碧雅苑,68.05,塔楼,2005,东,2室1厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯六户,有,70年,2018-02-26,普通住宅,暂无数据,地铁,
30,168,170,24853,天河,龙岗路,67.6,塔楼,1999,南 北,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯七户,无,70年,2018-02-03,普通住宅,暂无数据,地铁,
31,200,258,23256,天河,兴禺大厦,86,塔楼,2002,东南,3室1厅1厨1卫,中楼层 (共33层),中楼层,33,其他,三梯六户,有,70年,2018-02-26,普通住宅,满五年,地铁,房屋满五年
32,182,185,22185,白云,新市花园一期,82.04,塔楼,1994,南,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2018-02-26,普通住宅,满五年,,房屋满五年
33,135,137,17024,番禺,番禺人民医院宿舍,79.3,板楼,1995,南,3室2厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯两户,暂无数据,70年,2018-02-03,普通住宅,暂无数据,,
34,338,350,54089,海珠,嘉仕花园东区,62.49,塔楼,2004,东北,2室1厅1厨1卫,低楼层 (共33层),低楼层,33,其他,三梯七户,有,70年,2018-02-03,普通住宅,暂无数据,,
35,82,88.4,18561,白云,春鸿居,44.18,塔楼,1997,西,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-02-03,普通住宅,暂无数据,,
36,306,320,70589,天河,中怡城市花园,43.35,塔楼,2002,西,1室1厅1厨1卫,中楼层 (共30层),中楼层,30,精装,三梯十八户,有,70年,2018-02-03,普通住宅,满两年,地铁,
37,162,163,22438,番禺,怡乐园,72.2,板楼,未知,南,2室2厅1厨1卫,高楼层 (共7层),高楼层,7,简装,一梯两户,无,70年,2018-02-03,普通住宅,满两年,地铁,
38,270,275,23540,番禺,东方白云花园,114.7,板楼,2002,东南,3室2厅1厨2卫,中楼层 (共6层),中楼层,6,其他,一梯四户,无,70年,2018-02-03,普通住宅,暂无数据,,
39,210,220,33552,天河,百脑汇科技大厦,62.59,塔楼,2004,西北,2室1厅1厨1卫,高楼层 (共30层),高楼层,30,其他,三梯十四户,有,70年,2018-02-03,普通住宅,暂无数据,地铁,
40,163,168,25670,白云,广园云苑新村,63.5,塔楼,1999,南,2室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,无,70年,2018-02-03,普通住宅,暂无数据,,
41,98,100.5,29280,天河,雅怡居,33.47,塔楼,2000,北,1室1厅0厨1卫,高楼层 (共9层),高楼层,9,精装,一梯四户,无,70年,2018-02-03,普通住宅,暂无数据,地铁,
42,183.8,185,21965,番禺,侨基花园,83.68,塔楼,1998,西,3室2厅1厨2卫,低楼层 (共32层),低楼层,32,其他,两梯八户,有,70年,2018-02-04,普通住宅,暂无数据,地铁,
43,206,220,49928,越秀,嘉诚国际公寓,41.26,塔楼,2007,东,1室1厅1厨1卫,低楼层 (共29层),低楼层,29,其他,四梯二十五户,有,70年,2018-02-03,普通住宅,暂无数据,地铁,
44,300,300,28302,海珠,大江苑南贤大街,106,塔楼,1997,南,3室1厅0厨1卫,高楼层 (共9层),高楼层,9,简装,一梯三户,无,70年,2018-02-04,普通住宅,满五年,地铁,房屋满五年
45,250,250,68531,天河,尚德大厦,36.48,塔楼,2003,北,1室0厅1厨1卫,中楼层 (共23层),中楼层,23,简装,三梯二十四户,有,70年,2018-02-04,普通住宅,暂无数据,地铁,
46,51,53,17587,白云,远景新苑,29,塔楼,1998,南 北,1室0厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯八户,无,70年,2018-01-31,普通住宅,暂无数据,,
47,283,295,41729,海珠,金碧花园第三金碧,67.82,塔楼,2000,南 北,2室2厅1厨1卫,低楼层 (共26层),低楼层,26,其他,两梯六户,有,70年,2018-01-31,普通住宅,暂无数据,,
48,268,280,29106,荔湾,杉木栏路,92.08,塔楼,未知,东,4室1厅1厨1卫,中楼层 (共14层),中楼层,14,其他,两梯十户,有,70年,2018-01-31,普通住宅,暂无数据,地铁,
49,142,165,24068,荔湾,环翠园,59,塔楼,1994,南,3室2厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯四户,无,70年,2018-02-02,普通住宅,暂无数据,地铁,
50,113.8,116,16328,番禺,江南商住城,69.7,塔楼,2000,东,2室2厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯两户,暂无数据,70年,2018-02-02,普通住宅,暂无数据,,
51,82,85,35653,海珠,同福东路宝岗直街,23,板楼,未知,南,1室0厅1厨1卫,高楼层 (共6层),高楼层,6,简装,一梯四户,无,70年,2018-02-02,普通住宅,暂无数据,,
52,330,336,41250,白云,云山诗意琴韵居,80,塔楼,2008,南,2室2厅1厨1卫,低楼层 (共18层),低楼层,18,简装,两梯五户,有,70年,2018-02-02,普通住宅,满两年,地铁,
53,153,155,22836,白云,远景新苑,67,塔楼,1998,东南,2室1厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯六户,无,70年,2018-02-02,普通住宅,暂无数据,,
54,132.6,133,15437,番禺,东涌路,85.9,板楼,未知,南,3室2厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯两户,无,70年,2018-02-02,普通住宅,暂无数据,,
55,292,305,39460,白云,岭南新世界,74,塔楼,2000,北,2室1厅1厨1卫,中楼层 (共11层),中楼层,11,其他,一梯四户,有,70年,2018-02-02,普通住宅,暂无数据,地铁,
56,180,180,37214,海珠,聚德花园,48.37,塔楼,1997,南,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯五户,无,70年,2018-02-02,普通住宅,暂无数据,,
57,350,360,46023,天河,侨英花园,76.05,塔楼,2008,南,2室2厅1厨1卫,中楼层 (共11层),中楼层,11,其他,两梯四户,有,70年,2018-02-02,普通住宅,暂无数据,地铁,
58,128,133,26667,白云,广园云苑新村,48,塔楼,1999,南,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯六户,无,70年,2018-02-02,普通住宅,暂无数据,,
59,207,210,22259,增城,碧桂园凤凰城凤馨苑,93,塔楼,2002,北,3室2厅1厨2卫,高楼层 (共18层),高楼层,18,其他,两梯四户,有,70年,2018-02-02,普通住宅,暂无数据,,
60,360,370,36073,荔湾,珠岛花园,99.8,塔楼,1999,南,3室2厅1厨1卫,低楼层 (共23层),低楼层,23,简装,两梯八户,有,70年,2018-02-02,普通住宅,暂无数据,,
61,795,830,70354,天河,星汇园,113,塔楼,2002,北,3室2厅1厨2卫,中楼层 (共32层),中楼层,32,简装,三梯六户,有,70年,2018-02-02,普通住宅,暂无数据,地铁,
62,156,158,38049,番禺,广州奥林匹克花园广奥友谊尚居,41,塔楼,2002,东北,1室1厅1厨1卫,中楼层 (共15层),中楼层,15,精装,两梯八户,有,70年,2018-02-02,普通住宅,暂无数据,地铁,
63,223,230,25633,番禺,珠江花园,87,塔楼,1992,东北,3室1厅1厨1卫,中楼层 (共28层),中楼层,28,精装,三梯九户,有,70年,2018-02-04,普通住宅,暂无数据,,
64,228,230,34614,海珠,毛纺小区,65.87,塔楼,1990,南 北,2室2厅1厨1卫,低楼层 (共8层),低楼层,8,精装,一梯两户,无,70年,2018-02-02,普通住宅,满五年,地铁,房屋满五年
65,195,200,25071,海珠,晓南花园晓南二街,77.78,塔楼,1997,东南,2室2厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-02-04,普通住宅,暂无数据,地铁,
66,98,105,20120,黄埔,港湾三村,48.71,板楼,1990,南,2室1厅1厨1卫,中楼层 (共6层),中楼层,6,简装,一梯两户,无,70年,2018-02-04,普通住宅,满五年,地铁,房屋满五年
67,86,88,24274,荔湾,金道花园,35.43,塔楼,2000,西,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-02-04,普通住宅,暂无数据,地铁,
68,159,165,20922,天河,濂泉路42号大院,76,板楼,1995,南 北,3室1厅1厨1卫,中楼层 (共5层),中楼层,5,其他,一梯四户,无,70年,2018-02-04,普通住宅,暂无数据,,
69,83,85,19571,黄埔,港湾四村,42.41,塔楼,1984,南,1室1厅1厨1卫,中楼层 (共5层),中楼层,5,简装,一梯六户,无,70年,2018-02-04,普通住宅,暂无数据,地铁,
70,139,140,22598,白云,水警宿舍,61.51,塔楼,1998,西,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-02-04,普通住宅,暂无数据,,
71,157.5,165,21576,黄埔,水韵翔庭,73,塔楼,未知,南 北,2室2厅1厨1卫,中楼层 (共12层),中楼层,12,其他,一梯五户,暂无数据,70年,2018-02-04,普通住宅,暂无数据,,
72,93,95,9263,花都,花都颐和山庄,100.4,塔楼,未知,南,2室2厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯两户,暂无数据,70年,2018-02-04,普通住宅,暂无数据,,
73,352,360,40349,天河,盈彩美居,87.24,塔楼,2003,南,3室2厅1厨1卫,低楼层 (共18层),低楼层,18,其他,两梯六户,有,70年,2018-01-31,普通住宅,暂无数据,,
74,305,360,72620,天河,广弘天琪,42,塔楼,2005,东,1室0厅1厨1卫,中楼层 (共31层),中楼层,31,简装,两梯七户,有,70年,2018-02-04,普通住宅,暂无数据,地铁,
75,115,115,21943,白云,机场路新市北街,52.41,板楼,未知,南,2室1厅1厨1卫,高楼层 (共6层),高楼层,6,其他,一梯两户,暂无数据,70年,2018-02-04,普通住宅,暂无数据,,
76,460,470,45099,海珠,保利百合花园芳园,102,塔楼,2004,东北,3室1厅1厨1卫,低楼层 (共21层),低楼层,21,毛坯,两梯八户,有,70年,2018-02-04,普通住宅,暂无数据,地铁,
77,128,129,18947,白云,京华雅居,67.56,塔楼,1995,北,3室1厅1厨1卫,高楼层 (共9层),高楼层,9,精装,一梯五户,无,70年,2018-02-04,普通住宅,暂无数据,,
78,110,110,31940,白云,万方园,34.44,塔楼,1999,东,1室0厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯二十三户,有,70年,2018-01-31,普通住宅,暂无数据,地铁,
79,199,200,29818,越秀,北京路仙湖街,66.74,塔楼,未知,南 北,2室1厅1厨1卫,高楼层 (共8层),高楼层,8,精装,一梯两户,暂无数据,70年,2018-01-31,普通住宅,满五年,地铁,房屋满五年
80,206,215,28418,白云,汇侨新城北区,72.49,塔楼,2000,北,2室1厅1厨1卫,低楼层 (共18层),低楼层,18,简装,两梯八户,有,70年,2018-01-31,普通住宅,暂无数据,,
81,150,306.3,18123,白云,金桂园,82.77,塔楼,2000,西,2室1厅1厨1卫,中楼层 (共12层),中楼层,12,其他,两梯六户,有,70年,2018-01-31,普通住宅,暂无数据,地铁,
82,180,180,25353,黄埔,富域尚品居,71,塔楼,2009,北,2室1厅1厨1卫,高楼层 (共18层),高楼层,18,其他,两梯七户,有,70年,2018-01-31,普通住宅,暂无数据,地铁,
83,1228,1280,44818,天河,富力公园28,274,塔楼,2012,南 北,4室2厅1厨3卫,高楼层 (共48层),高楼层,48,精装,两梯两户,有,50年,2018-01-31,商住两用,暂无数据,地铁,
84,183,186,16728,番禺,番艺花园,109.4,塔楼,1996,南,3室2厅1厨2卫,高楼层 (共7层),高楼层,7,简装,一梯两户,无,70年,2018-01-31,普通住宅,暂无数据,,
85,210,215,13762,番禺,莲花山高尔夫别墅,152.6,塔楼,未知,西南,3室3厅1厨2卫,中楼层 (共5层),中楼层,5,简装,一梯三户,暂无数据,70年,2018-01-31,普通住宅,满五年,,房屋满五年
86,140,140,25455,番禺,广州星河湾,55,塔楼,2003,南,1室1厅0厨1卫,中楼层 (共18层),中楼层,18,精装,三梯三十六户,有,70年,2018-02-01,普通住宅,暂无数据,,
87,252,255,32529,海珠,聚德花园,77.47,塔楼,1997,西北,2室1厅1厨1卫,低楼层 (共27层),低楼层,27,简装,两梯八户,有,70年,2018-02-03,普通住宅,暂无数据,,
88,839,860,79905,天河,新城海滨花园S区,105,塔楼,2000,北,3室2厅1厨1卫,低楼层 (共15层),低楼层,15,精装,两梯五户,有,70年,2018-02-03,普通住宅,暂无数据,地铁,
89,368,380,48422,越秀,五羊小区,76,塔楼,1986,东,2室2厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,无,70年,2018-02-03,普通住宅,暂无数据,地铁,
90,245,250,25790,番禺,金口岸大厦,95,塔楼,2003,东,2室1厅0厨1卫,中楼层 (共22层),中楼层,22,其他,两梯六户,有,70年,2018-02-03,普通住宅,暂无数据,地铁,
91,280,285,36525,白云,岭南新世界,76.66,塔楼,2008,北,2室2厅1厨1卫,低楼层 (共18层),低楼层,18,简装,两梯四户,有,70年,2018-02-03,普通住宅,暂无数据,地铁,
92,385,398,39691,番禺,广州雅居乐花园十年小雅,97,塔楼,2010,东南,3室2厅1厨1卫,中楼层 (共33层),中楼层,33,其他,两梯六户,有,70年,2018-02-03,普通住宅,暂无数据,地铁,
93,75,75,24194,白云,广园云苑新村,31,塔楼,1999,东,1室1厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯六户,无,70年,2018-02-03,普通住宅,暂无数据,,
94,538,540,58985,海珠,富力银禧花园,91.21,塔楼,2005,东南,2室2厅1厨1卫,低楼层 (共20层),低楼层,20,简装,三梯七户,有,70年,2018-02-03,普通住宅,暂无数据,,
95,124,125,14597,花都,富力金港城,84.95,塔楼,2012,南,2室2厅1厨1卫,低楼层 (共18层),低楼层,18,其他,两梯六户,有,70年,2018-02-04,普通住宅,暂无数据,,
96,740,760,60766,天河,珠江俊园,121.78,塔楼,2007,东北,3室2厅1厨2卫,中楼层 (共28层),中楼层,28,其他,三梯六户,有,70年,2018-02-03,普通住宅,暂无数据,,
97,93.4,100,44477,天河,环宇花园文景阁,21,塔楼,2000,南,1室0厅1厨1卫,中楼层 (共9层),中楼层,9,简装,一梯十一户,无,70年,2018-02-03,普通住宅,暂无数据,,
98,238,240,28675,天河,福龙苑,83,塔楼,1990,东 西,2室2厅1厨1卫,高楼层 (共9层),高楼层,9,简装,一梯四户,无,70年,2018-02-03,普通住宅,暂无数据,地铁,
99,193.4,200,27873,越秀,麓景路,69.37,塔楼,未知,南 北,2室2厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯两户,无,70年,2018-02-03,普通住宅,暂无数据,,
100,164,170,41485,海珠,富景花园,39.53,塔楼,2003,西南,1室1厅1厨1卫,中楼层 (共32层),中楼层,32,其他,两梯十三户,有,70年,2018-02-04,普通住宅,暂无数据,地铁,
101,230,235,30667,越秀,德政南路长兴直街,75,塔楼,未知,东,2室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯八户,暂无数据,70年,2018-02-03,普通住宅,暂无数据,地铁,
102,182,190,50556,越秀,淘金东路,36,塔楼,1992,南 北,1室1厅1厨1卫,高楼层 (共9层),高楼层,9,其他,一梯四户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
103,345,345,34428,黄埔,万科金色悦府,100.21,塔楼,2014,南,3室2厅1厨2卫,高楼层 (共31层),高楼层,31,其他,两梯六户,有,70年,2018-02-04,普通住宅,暂无数据,地铁,
104,630,678,40651,越秀,寺右新马路,154.98,塔楼,未知,南 北,4室2厅1厨2卫,低楼层 (共9层),低楼层,9,其他,一梯一户,暂无数据,70年,2018-02-01,普通住宅,暂无数据,地铁,
105,124,125,23397,白云,云东花园,53,塔楼,1998,南,1室1厅1厨1卫,低楼层 (共9层),低楼层,9,其他,一梯六户,无,70年,2018-02-01,普通住宅,暂无数据,,
106,233,235,25054,番禺,亚运城媒体南村,93,塔楼,未知,西南,2室2厅1厨1卫,高楼层 (共22层),高楼层,22,其他,一梯四户,暂无数据,70年,2018-02-01,普通住宅,暂无数据,地铁,
107,212,220,23556,增城,翡翠绿洲森林半岛,90,塔楼,2011,东 西,3室2厅0厨1卫,高楼层 (共17层),高楼层,17,毛坯,两梯六户,有,70年,2018-02-04,普通住宅,满两年,,
108,235,235,23666,增城,翡翠绿洲湖绣苑,99.3,塔楼,2011,北,3室2厅1厨1卫,高楼层 (共25层),高楼层,25,精装,两梯四户,有,70年,2018-02-01,普通住宅,暂无数据,,
109,148,150,20397,番禺,怡乐园,72.56,塔楼,1994,南,2室1厅1厨1卫,高楼层 (共7层),高楼层,7,简装,一梯两户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
110,540,560,62711,天河,银汇华庭银汇大厦,86.11,塔楼,2009,南,2室2厅1厨1卫,低楼层 (共32层),低楼层,32,其他,三梯十二户,有,70年,2018-02-01,普通住宅,暂无数据,地铁,
111,193,200,29611,荔湾,福盛花苑,65.18,塔楼,1998,南,2室2厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯五户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
112,120,120,25729,越秀,时代YOU公寓,46.64,塔楼,2006,东,1室1厅0厨1卫,低楼层 (共21层),低楼层,21,简装,两梯十八户,有,50年,2018-02-01,商住两用,暂无数据,地铁,
113,278,290,29919,海珠,保利红棉花园,92.92,塔楼,1997,南 北,3室2厅1厨1卫,低楼层 (共9层),低楼层,9,简装,一梯五户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
114,218,220,32012,番禺,广州碧桂园雅苑,68.1,塔楼,1998,东北,2室1厅1厨1卫,中楼层 (共7层),中楼层,7,其他,一梯四户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
115,85,90,23180,增城,新都盛世名门,36.67,塔楼,2012,东,1室1厅1厨1卫,高楼层 (共21层),高楼层,21,精装,两梯十六户,有,70年,2018-02-01,普通住宅,满两年,地铁,
116,152,152,19000,番禺,市桥富华楼,80,塔楼,2003,北,3室1厅1厨1卫,高楼层 (共7层),高楼层,7,其他,一梯四户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
117,180,210,28572,越秀,湛塘路,63,塔楼,未知,西南,2室1厅1厨1卫,中楼层 (共9层),中楼层,9,其他,一梯八户,无,70年,2018-02-01,普通住宅,暂无数据,地铁,
118,157.8,158,41969,海珠,珠江大家庭花园,37.6,塔楼,2003,东,1室0厅1厨1卫,中楼层 (共10层),中楼层,10,其他,一梯九户,有,70年,2018-02-01,普通住宅,暂无数据,地铁,
119,159.2,160,27121,番禺,祈福新村湖景居,58.7,板楼,1995,南,2室2厅1厨1卫,高楼层 (共4层),高楼层,4,其他,一梯一户,无,70年,2018-02-27,普通住宅,暂无数据,,
120,630,650,66316,天河,荟雅苑,95,塔楼,2000,南,3室2厅1厨1卫,高楼层 (共31层),高楼层,31,简装,三梯六户,有,70年,2018-02-27,普通住宅,暂无数据,地铁,
121,363,380,33000,番禺,广州雅居乐花园雅悦庭,110,塔楼,2010,西南,3室2厅1厨1卫,中楼层 (共11层),中楼层,11,其他,一梯四户,有,70年,2018-02-02,普通住宅,暂无数据,,
122,268,350,24588,番禺,锦绣生态园水云居,109,塔楼,2001,北,3室2厅1厨2卫,低楼层 (共16层),低楼层,16,其他,两梯四户,有,70年,2018-02-02,普通住宅,暂无数据,,
123,125.5,130,20045,黄埔,黄电新村,62.61,板楼,未知,南,2室1厅1厨1卫,中楼层 (共6层),中楼层,6,其他,一梯两户,无,70年,2018-02-27,普通住宅,暂无数据,,
124,435,450,43070,白云,隆康花园,101,塔楼,2002,西北,3室1厅1厨1卫,中楼层 (共11层),中楼层,11,其他,一梯六户,有,70年,2018-02-27,普通住宅,暂无数据,地铁,
125,248,258,41299,海珠,和安大厦,60.05,塔楼,2008,北,2室2厅1厨1卫,中楼层 (共16层),中楼层,16,简装,两梯八户,有,70年,2018-02-27,普通住宅,暂无数据,,
126,129,135,29319,天河,棠德花园,44,塔楼,1997,西,2室1厅1厨1卫,高楼层 (共10层),高楼层,10,简装,一梯四户,无,70年,2018-02-27,普通住宅,暂无数据,,
127,63,70,18863,天河,濂泉路,33.4,塔楼,未知,南,1室1厅1厨1卫,低楼层 (共8层),低楼层,8,其他,一梯十二户,暂无数据,70年,2018-02-27,普通住宅,暂无数据,地铁,
128,158,165,28408,海珠,赤岗三街2至28号小区,55.62,塔楼,1995,南 北,2室1厅1厨1卫,中楼层 (共8层),中楼层,8,其他,一梯四户,无,70年,2018-02-08,普通住宅,暂无数据,,
129,215,220,33589,白云,和馨雅居,64.01,塔楼,2002,南 北,2室2厅1厨1卫,中楼层 (共11层),中楼层,11,其他,一梯六户,有,70年,2018-02-08,普通住宅,暂无数据,,
130,230,250,21727,荔湾,芳村大道东陇西,105.86,暂无数据,未知,南,5室2厅2厨2卫,低楼层 (共1层),低楼层,1,其他,一梯一户,无,70年,2018-02-27,别墅,暂无数据,地铁,
131,297,300,47658,荔湾,富力广场D区,62.32,塔楼,2005,北,2室1厅1厨1卫,低楼层 (共25层),低楼层,25,其他,两梯九户,有,70年,2018-02-09,普通住宅,暂无数据,地铁,
132,183.8,186,26538,黄埔,富域尚品居,69.26,塔楼,2009,南 北,2室2厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯七户,有,70年,2018-02-27,普通住宅,暂无数据,地铁,
133,251,255,28394,黄埔,龙光峰景华庭,88.4,塔楼,2008,东,3室1厅1厨1卫,中楼层 (共18层),中楼层,18,其他,两梯七户,有,70年,2018-02-08,普通住宅,满五年,,房屋满五年
134,47.7,50,38687,荔湾,光复北路,12.33,塔楼,未知,南 北,1室0厅1厨1卫,低楼层 (共9层),低楼层,9,简装,一梯三户,无,70年,2018-02-09,普通住宅,暂无数据,,
135,356,360,35600,黄埔,万科金色悦府,100,塔楼,2014,南,3室2厅1厨2卫,高楼层 (共31层),高楼层,31,精装,两梯六户,有,70年,2018-02-09,普通住宅,满两年,地铁,
